baseLog,ShortId,EARTH_MOVERS_LIGHT_COVERAGE,ALPHA_PRECISION_UNRESTRICTED,MODEL_ENTITY_COUNT,.level
BPIC2013 closed,walign-inductive,0.6168338064710819,1,6,1
BPIC2013 closed,walign-inductive,0.7586922584903646,0.993,9,1
BPIC2013 closed,walign-inductive,0.7172022851226292,0.998,6,1
BPIC2013 closed,wpairscale-split,0.9411847218478846,0.702,17,1
BPIC2013 closed,wpairscale-split,0.8634579642891472,0.845,15,1
BPIC2013 closed,wpairscale-split,0.9395936356111928,0.713,17,1
BPIC2013 closed,wpairscale-split,0.8850518808960205,0.815,14,1
BPIC2013 closed,trace,0.9743262473538562,0.893,2417,1
BPIC2013 closed,toothpaste,0.9077324185205292,0.824,367,1
BPIC2013 closed,toothpaste,0.9041314921611103,0.844,390,1
BPIC2013 closed,trace,0.9697916712090466,0.941,2252,1
BPIC2013 closed,toothpaste,0.9568021090413693,0.855,624,1
BPIC2013 closed,trace,0.9728638186860552,0.901,2526,1
BPIC2018 control,walign-inductive,0.9691669107632069,0.995,20,1
BPIC2018 control,walign-inductive,0.9803167570054196,0.995,21,1
BPIC2018 control,wfreq-split,0.7146901131446219,0.998,18,1
BPIC2018 control,wpairscale-split,0.9404222581954187,0.995,18,1
BPIC2018 control,wpairscale-split,0.940553370716934,0.993,18,1
BPIC2018 control,GDT_SPN,0.9967731630001551,0.985,31,1
BPIC2018 control,trace,0.9997259507188545,1,55089,1
BPIC2018 control,GDT_SPN,0.9943866811120298,0.987,31,1
BPIC2018 control,toothpaste,0.9331787931152226,0.998,60,1
BPIC2018 control,trace,0.9997569573929791,1,55548,1
BPIC2018 control,toothpaste,0.8974827849688557,0.996,55,1
BPIC2018 control,GDT_SPN,0.9948064723428698,0.993,34,1
BPIC2018 reference,walign-inductive,0.9503336232748061,0.988,22,1
BPIC2018 reference,walign-inductive,0.9805568819124412,0.946,23,1
BPIC2018 reference,walign-inductive,0.9953231889980131,0.942,23,1
BPIC2018 reference,walign-inductive,0.9264895981546892,0.998,20,1
BPIC2018 reference,wpairscale-split,0.9542507247840398,0.839,21,1
BPIC2018 reference,wpairscale-split,0.963675984484355,0.833,21,1
BPIC2018 reference,trace,0.9984884848549038,0.99,42469,1
BPIC2018 reference,GDT_SPN,0.9783831775296292,0.98,30,1
BPIC2018 reference,trace,0.9982982832851696,0.983,42419,1
BPIC2018 reference,GDT_SPN,0.9935314616647876,0.98,33,1
Road Traffic Fines,walign-inductive,0.7708939198968165,0.275,33,1
Road Traffic Fines,walign-inductive,0.792484686533806,0.404,36,1
Road Traffic Fines,walign-inductive,0.7757707256725678,0.273,27,1
Road Traffic Fines,walign-inductive,0.7859648830997449,0.274,33,1
Road Traffic Fines,wpairscale-split,0.7468368547815769,0.659,32,1
Road Traffic Fines,wpairscale-split,0.7687332828025444,0.655,32,1
Road Traffic Fines,wpairscale-split,0.6872382765261129,0.837,31,1
Road Traffic Fines,wpairscale-split,0.77030627887917,0.654,32,1
Road Traffic Fines,wpairscale-split,0.7681628262891668,0.656,32,1
Road Traffic Fines,toothpaste,0.9712876170528331,0.904,361,1
Road Traffic Fines,toothpaste,0.9579807564228119,0.926,316,1
Sepsis,walign-inductive,0.5926922060279416,0,44,1
Sepsis,toothpaste,0.8011615596374094,0.215,2943,1
Sepsis,toothpaste,0.793525505709468,0.212,2734,1
Sepsis,trace,0.7283886182703736,0.849,5614,1
Sepsis,toothpaste,0.7903187079158686,0.237,2898,1
Sepsis,trace,0.7028274304594719,0.863,5881,1
Sepsis,toothpaste,0.7861738844084762,0.273,3357,1
Sepsis,trace,0.6875145395044155,0.853,5685,1
Sepsis,toothpaste,0.7970592145684177,0.238,3353,1
Sepsis,trace,0.6946280961090505,0.898,5757,1
Teleclaims,walign-inductive,0.5181717646755921,0,28,1
Teleclaims,walign-inductive,0.5270547644873229,0,29,1
Teleclaims,wpairscale-split,0.6332549806712902,0,56,1
Teleclaims,toothpaste,0.9518514349180109,0.863,116,1
Teleclaims,toothpaste,0.9561677449668934,0.862,116,1
Teleclaims,trace,1,1,17397,1
